C:\Users\Harsh\SDC_Data\IMG\center_2021_06_21_20_16_32_599.jpg, C:\Users\Harsh\SDC_Data\IMG\left_2021_06_21_20_16_32_599.jpg, C:\Users\Harsh\SDC_Data\IMG\right_2021_06_21_20_16_32_599.jpg, 0, 0, 0, 8.179583E-05
C:\Users\Harsh\SDC_Data\IMG\center_2021_06_21_20_16_32_700.jpg, C:\Users\Harsh\SDC_Data\IMG\left_2021_06_21_20_16_32_700.jpg, C:\Users\Harsh\SDC_Data\IMG\right_2021_06_21_20_16_32_700.jpg, 0, 0, 0, 8.224681E-05
C:\Users\Harsh\SDC_Data\IMG\center_2021_06_21_20_16_32_801.jpg, C:\Users\Harsh\SDC_Data\IMG\left_2021_06_21_20_16_32_801.jpg, C:\Users\Harsh\SDC_Data\IMG\right_2021_06_21_20_16_32_801.jpg, 0, 0, 0, 8.23595E-05
C:\Users\Harsh\SDC_Data\IMG\center_2021_06_21_20_16_32_904.jpg, C:\Users\Harsh\SDC_Data\IMG\left_2021_06_21_20_16_32_904.jpg, C:\Users\Harsh\SDC_Data\IMG\right_2021_06_21_20_16_32_904.jpg, 0, 0, 0, 8.200063E-05
C:\Users\Harsh\SDC_Data\IMG\center_2021_06_21_20_16_33_006.jpg, C:\Users\Harsh\SDC_Data\IMG\left_2021_06_21_20_16_33_006.jpg, C:\Users\Harsh\SDC_Data\IMG\right_2021_06_21_20_16_33_006.jpg, 0, 0, 0, 8.214878E-05
C:\Users\Harsh\SDC_Data\IMG\center_2021_06_21_20_16_33_111.jpg, C:\Users\Harsh\SDC_Data\IMG\left_2021_06_21_20_16_33_111.jpg, C:\Users\Harsh\SDC_Data\IMG\right_2021_06_21_20_16_33_111.jpg, 0, 0, 0, 8.155806E-05
C:\Users\Harsh\SDC_Data\IMG\center_2021_06_21_20_16_33_211.jpg, C:\Users\Harsh\SDC_Data\IMG\left_2021_06_21_20_16_33_211.jpg, C:\Users\Harsh\SDC_Data\IMG\right_2021_06_21_20_16_33_211.jpg, 0, 0.1193247, 0, 0.05261385
C:\Users\Harsh\SDC_Data\IMG\center_2021_06_21_20_16_33_316.jpg, C:\Users\Harsh\SDC_Data\IMG\left_2021_06_21_20_16_33_316.jpg, C:\Users\Harsh\SDC_Data\IMG\right_2021_06_21_20_16_33_316.jpg, 0, 0.4214565, 0, 0.3924395
C:\Users\Harsh\SDC_Data\IMG\center_2021_06_21_20_16_33_420.jpg, C:\Users\Harsh\SDC_Data\IMG\left_2021_06_21_20_16_33_420.jpg, C:\Users\Harsh\SDC_Data\IMG\right_2021_06_21_20_16_33_420.jpg, 0, 0.7754448, 0, 1.232758
C:\Users\Harsh\SDC_Data\IMG\center_2021_06_21_20_16_33_524.jpg, C:\Users\Harsh\SDC_Data\IMG\left_2021_06_21_20_16_33_524.jpg, C:\Users\Harsh\SDC_Data\IMG\right_2021_06_21_20_16_33_524.jpg, 0, 1, 0, 2.373604
